ID,word,final_normalized_detail
1800,اطوار,جِ طور. حال، وضع. در فارسی، حرکات و رفتار بی مزه.
1801,اطول,طويل تر، درازتر.
1802,اطيب,خوشبوتر. حلال تر.
1803,اظافير,جِ اظفار، ججِ ظُفُر؛ ناخن‌ها، چنگال‌ها.
1804,اظفار,جِ ظُفُر؛ ناخن‌ها.
1805,اظلال,جِ ظل ؛ سايه‌ها.
1806,اظلال,سايه افکندن.
1807,اظلام,تاریک شدن. در تاریکی درآمدن.  تاریک کردن.
1808,اظهار,پدیدار کردن.  بیان کردن. آگاه کردن.  قول، گفتار. ج. اظهارات.
1809,اظهار لحيه کردن,اظهار فضل کردن، خودي نشان دادن.
1810,اظهارنامه,فرم مالياتي، فرمي که از طرف ادارة دارايي براي تعيين ماليات کسبه فرستاده مي‌شود.
1811,اظهر,ظاهرتر، آشکارتر.  ؛~ من الشمس  بسيار آشکار، کاملاً واضح.
1812,اعاجم,جِ اعجم.
1813,اعاجيب,جِ اعجوبه. چیزهای شگفت آور.
1814,اعادت,نک  اعاده.
1815,اعاده,بازگفتن، از سر گرفتن. بازگردانیدن.  برگشت.
1816,اعادي,جِ اعداء. ججِ عدو؛ دشمنان.
1817,اعاذه,= اعاذت: پناه دادن، نگه داري کردن.
1818,اعاره,عاريت دادن چيزي را به کسي، به عاريت سپردن، ايرمان دادن.
1819,اعاشه,زندگی کردن، معیشت کردن.  زنده داشتن، زندگی بخشیدن.  گذران.
1820,اعاظم,جِ اعظم. بزرگتران، مهتران. بزرگان.
1821,اعانت,نک  اعانه.
1822,اعانه,کمک کردن.  یاری، کمک. ج. اعانات.
1823,اعباء,جِ عَب ؛ سنگين‌ها، بارها.
1824,اعتاب,جِ عتبه ؛ آستانه، درگاه.
1825,اعتاق,رها کردن، آزاد کردن بنده.
1826,اعتبار,پند گرفتن.   آبرو، قدر.
1827,اعتبار کردن,اعتماد کردن. عبرت گرفتن.
1828,اعتبارنامه,ورقه‌اي که اعضاي انجمن نظار امضا کنند و وکالت کسي را به اطلاع وزارت کشور و مجلس برسانند.
1829,اعتداء,ستم کردن.
1830,اعتداد,به حساب آوردن.  اعتماد داشتن.
1831,اعتدال,میانه روی.   حد میانه.
1832,اعتذار,پوزش خواستن. گِلِه کردن.  پوزش.
1833,اعتراض,نکته گیری نمودن.  تعرض کردن.   واخواست.
1834,اعتراف,اقرار کردن.  اقرار.
1835,اعتزاز,عزیز دانستن.  عزیز شدن.  عزت، ارجمندی.
1836,اعتزال,منزوی شدن. گوشه گرفتن. دارای آیین معتزله بودن.
1837,اعتساف,زور گفتن. بیراهه رفتن.  زورگویی.
1838,اعتصاب,دست از کار کشيدن به منظور رسيدن به هدفي خاص.
1839,اعتصام,متوسل شدن. خود را نگاه داشتن.  پرهیز از گناه.
1840,اعتضاد,یاری کردن. بازوی کسی را گرفتن.
1841,اعتقاد,باور داشتن. گرویدن به یک دین.  باور، گروش.
1842,اعتقال,بستن، بند کردن.  بسته شدن.
1843,اعتکاف,گوشه نشین شدن.  گوشه گیری.
1844,اعتلاء,برتری یافتن. بلند شدن.  بلندی، برتری.
1845,اعتلال,بیمار شدن. بهانه آوردن.  کسی را به کاری مشغول داشتن.  بیماری، مرض.
1846,اعتماد,تکیه کردن. برگزیدن. کاری را به کسی واگذاشتن.  اطمینان.
1847,اعتناء,اهتمام ورزیدن به  کاری.  توجه داشتن به کسی یا کاری.
1848,اعتناق,دست به گردن یکدیگر انداختن. امری را به گردن گرفتن.  نوازش.
1849,اعتوار,دست به دست دادن. به یکدیگر عطا کردن.
1850,اعتياد,عادت کردن.
1851,اعتياض,به عوض خواستن. بدل دادن.
1852,اعجاب,به شگفت آوردن.  متعجب شدن.  شگفتی. خودبینی، خودپسندی.
1853,اعجاز,عاجز ساختن. کار دشوار و خلاف عادت انجام دادن.  عجز، ناتوانی.
1854,اعجام,نقطه نهادن حروف.  نقطه گذاری.
1855,اعجب,عجيب تر، شگفت آورتر.
1856,اعجم,کسی که نتواند فصیح سخن گوید. کسی که نتواند به زبانی غیرعربی سخن بگوید.  غیرعرب. ج. اعاجم.
1857,اعجمي,غیر عرب. کسی که نتواند به شیوایی سخن گوید.  ایرانی، فارسی.
1858,اعجوبه,شگفت آور. ج. اعاجيب.
1859,اعد,آماده تر، مهياتر.
1860,اعدا,جِ عدو؛ دشمنان.
1861,اعداد,جِ عدد؛ ارقام، شماره‌ها.
1862,اعداد,آماده کردن، بسیجیدن.  بسیج.
1863,اعدام,نیست کردن، نابود گردانیدن.  تهیدست شدن.
1864,اعدام,جِ عدم ؛ نيست‌ها، نيستي‌ها.
1865,اعدل,دادگرتر، شایسته تر برای شهادت دادن. راست تر، خوش تر.
1866,اعدي,دشمن تر، ستمکارتر.
1867,اعذار,عذر آوردن.  پوزش خواستن.  پوزش، عذر.
1868,اعراب,درست سخن گفتن.  حرکت حرف آخر در کلمات عربی. حرکات حروف در کلمات.
1869,اعرابي,عرب بياباني، صحرانشين. ج. اعراب.
1870,اعراض,جِ عِرض. آبروها. خواسته‌ها.
1871,اعراض,جِ عَرَض ؛ بيماري‌ها.
1872,اعراض,شير پستان زن هنگامي که عصبي يا وحشت زده باشد يا غم و اندوه شديدي به او دست داده باشد. خوردن شير اعراض باعث ناخوشي کودک مي‌شود.
1873,اعراض,روی گردانیدن. برگشتن. نفرت داشتن.  نفرت، کراهت.
1874,اعراف,جِ عُرف ؛ مکان‌های بلند. برزخ، مکانی بین بهشت و جهنم.
1875,اعراق,جِ عِرق. رگ‌ها.  کوه‌های بلند. ریشه‌های درخت.
1876,اعرج,لنگ.
1877,اعرف,شناساتر، داناتر. شناخته تر، معروف تر.
1878,اعز,ارجمندتر، بزرگوارتر. نایاب تر.
1879,اعزاز,عزيز داشتن، گرامي داشتن.
1880,اعزام,در فارسي به معناي فرستادن، روانه کردن.
1881,اعزل,ابر بی باران. مرد بی سلاح.
1882,اعزه,جِ عزيز؛ ارجمندان، گرانمايگان، بزرگواران.
1883,اعسار,تنگ دست شدن.  تنگ دستی.
1884,اعشار,جِ عشر؛ يک دهم‌ها.
1885,اعشي,شبکور.
1886,اعصاب,جِ عصب. پی‌ها، عصب‌ها.  وضع روحی و روانی.
1887,اعصار,جِ عصر؛ روزگاران، زمان‌ها، دورها.
1888,اعصار,درآمدن در عصر.  گردباد.
1889,اعصم,اسبي که دو دستش سفيد باشد.
1890,اعضاء,جِ عضو. اندام‌ها. کارمندان.
1891,اعطاء,بخشیدن، دادن.  بخشش، دهش.
1892,اعطاف,مهربانی و لطف کردن. توجه و میل کردن.
1893,اعطيه,جِ عطاء؛ بخشش‌ها، عطاها.
1894,اعظام,بزرگ داشتن.  بزرگداشت.
1895,اعظم,بزرگتر، بزرگوارتر. درشت تر.
1896,اعقاب,جِ عَقِب. بازماندگان.  فرزندان آینده.
1897,اعلاء,بلند کردن، بالا بردن، برکشيدن.
1898,اعلاق,جِ عِلْق. چیزهای نفیس. غلاف‌های شمشیر.
1899,اعلال,بيمار کردن.
1900,اعلام,جِ عَلَم. نشانه‌ها. بیرق‌ها.
1901,اعلام,آگاه کردن، هشدار دادن.  آگاهی.
1902,اعلاميه,مطلبي که به صورت کتبي ياشفاهي اعلام شود، آگهي، اطلاعيه، اعلان.
1903,اعلاميه حقوق بشر,اعلامیه‌ای است شامل یک مقدمه و  ماده که در آن به حقوق افراد انسانی بدون توجه به نژاد، رنگ، جنس و... اشاره شده‌است. اساس این اعلامیه همان «اعلامیة حقوق بشر» در مقدمة قانون اساسی  فرانسه می‌باشد. در سال ، مجمع عمومی سازمان ملل اعلامیة جهانی حقوق بشر را تصویب و اعلام نمود، و از کلیة کشورهای عضو دعوت کرد که متن اعلامیه را منتشر کرده موجبات پخش و انتشار و تفسیر آن را مخصوصاً در مدارس و موسسات تربیتی و فرهنگی فراهم سازند. مادة اول آن می‌گوید که: «تمام افراد بشر آزاد به دنیا می‌آیند و از لحاظ حیثیت و حقوق با هم برابرند و همه دارای عقل و وجدان می‌باشند. و باید نسبت به یکدیگر با روح برادری رفتار کنند».
1904,اعلان,آشکارا کردن.   آگهی.
1905,اعلي,برتر، بلندتر.  برگزیده از هر چیز.
1906,اعم,عام تر، شامل تر.  گروه بسیار.
1907,اعماء,کور کردن.
1908,اعمار,آباد یافتن زمین را. بی نیاز ساختن کسی را. چیزی را مادام العمر به کسی دادن.
1909,اعماق,جِ عمق ؛ تک‌ها، ته‌ها، رژف‌ها.
1910,اعمال,جِ عمل. کارها، کرده‌ها. شغل‌ها، پیشه‌ها.  نواحی .
1911,اعمال,به کار بستن.
1912,اعمش,کسي که به سبب مرض، آب از چشمش جاري شود.
1913,اعمي,کور، نابينا.
1914,اعنات,رنجانیدن، به رنج انداختن. کسی را در کاری دشوار افکندن.
1915,اعناق,جِ عنق ؛ بداخلاق‌ها.
1916,اعنق,آن که گردن دراز دارد.
1917,اعوان,جِ عون ؛ ياران.
1918,اعوج,کج، ناراست.  بدخوی.
1919,اعوجاج,کج شدن.   کج ی، ناراستی.
1920,اعور,یک چشم. رودة کور، رودة وسطی.
1921,اعياء,خسته کردن.   دشوار شدن کار بر کسی.
1922,اعياد,جِ عيد؛ جشن‌ها.
1923,اعيان,جِ عین.  بزرگان.  اشراف. بناها، ساختمان‌ها، مصالح ساختمانی.
1924,اعين,آن که سياهي چشمش درشت باشد، فراخ چشم.
1925,اغاثه,به فریاد کسی رسیدن.  فریادرسی.
1926,اغاره,تاراج کردن، غارت کردن.
1927,اغاريد,جِ اُغروده ؛ آواز پرندگان.
1928,اغاني,جِ اُغنیُِه. سرودها، آوازها. سازهای غیربادی.
1929,اغبر,گردآلود. خاکی رنگ، خاکی.
1930,اغبرار,خاک آلود شدن، گردآلود شدن. تیره رنگ شدن، خاک رنگ گشتن.
1931,اغتباط,غبطه داشتن. به آرزو آمدن. شادمان و خوشحال شدن.
1932,اغتذاء,غذا گرفتن.
1933,اغتراب,از دیار خویش دور شدن. با بیگانگان ازدواج  کردن.
1934,اغترار,فریفته شدن، فریب خوردن، مغرور شدن.  فریفتگی.
1935,اغتراف,با کف دست آب خوردن.
1936,اغتسال,سر و تن شستن، شستن.
1937,اغتشاش,آشفته شدن.  آشفتگی.
1938,اغتصاب,غصب کردن.
1939,اغتفار,آمرزیدن.   آمرزش.
1940,اغتماس,فرو رفتن در آب.
1941,اغتمام,غمگين شدن.
1942,اغتنام,غنيمت شمردن.
1943,اغتياب,پشت سر کسي بد گفتن، غيبت کردن.
1944,اغتيال,به ناگاه کسی را کشتن. فریب دادن. فربه شدن.
1945,اغذيه,جِ غذاء؛ خوردني‌ها.
1946,اغر,برکت، شگون.
1947,اغر,سفید. اسبی که پیشانی اش سفید است. شهره، معروف.
1948,اغر به خير,جملة دعایی به معنی: خیر پیش، به سلامت. روز به خیر، وقت به خیر.
1949,اغرا,شوراندن، تحریک کردن.  انگیزش.
1950,اغراب,شگفت آوردن. تازه گفتن.
1951,اغراس,درخت کاشتن.
1952,اغراس,جِ غرس ؛ درخت‌ها، نهال‌ها.
1953,اغراض,جِ غرض ؛ خواست‌ها، هدف‌ها.
1954,اغراق,غرق کردن.   مبالغه کردن.
1955,اغرب,شگفت تر، غريب تر.
1956,اغره,ج. غریر.  فریفتگان، مغروران. جوانان بی تجربه.
1957,اغشاء,پوشاندن، پوشانيدن.
1958,اغصان,جِ غُصن ؛ شاخه‌ها.
1959,اغضاء,چشم بستن، چشم بر هم نهادن.  چشم پوشی، گذشت.
1960,اغفال,غافل کردن، گول زدن.
1961,اغلاء,گران خریدن.  گران کردن قیمت چیزی.
1962,اغلاط,جِ غلط ؛ غلط‌ها، اشتباها.
1963,اغلاق,دربستن. سخن را پیچیده گفتن.  پیچیده گویی.
1964,اغلال,خیانت کردن. کینه ورزیدن.
1965,اغلان,پسر، پسربچه.
1966,اغلب,بیشتر، اکثر. چیره تر.
1967,اغلوطه,سخن نادرست. سخنی که با آن کسی را گمراه سازند.
1968,اغلي,گران بهاءتر، گرانتر.
1969,اغما,بیهوش شدن، بیهوشی.  بیهوش کردن.
1970,اغماض,چشم پوشی کردن، نادیده گرفتن.  گذشت، چشم پوشی.
1971,اغنا,بي نياز کردن.
1972,اغني,بي نيازتر، توانگرتر.
1973,اغنياء,جِ غني ؛ ثروتمندان.
1974,اغنيه,آواز، سرود. ج. اغاني.
1975,اغواء,گمراه کردن، گول زدن.
1976,اغور,نک  اُغُر.
1977,اغيار,جِ غير؛ بيگانگان، ديگران، نامحرمان.
1978,اغير,با غيرت تر.
1979,اغيل,نک  آغل.
1980,اف,کلمه‌اي است که به هنگام اظهار افسرد گ ي، نفرت  و کراهت استعمال کنند.
1981,اف اف,نام تجارتي وسيله‌اي برقي براي باز کردن در ساختمان، در بازکن. .
1982,افاده,فایده رساندن، سود دادن.  تکبر، خودبینی.
1983,افاضل,جِ افضل. برتران. دانشمندان.
1984,افاضه,پر کردن ظرف تا لبریز شود. وارد شدن در سخن و حدیث. فیض رساندن، بهره.
1985,افاعيل,جِ افعال ؛ جج فعل ؛ فعل‌ها، کنش‌ها، کردارها.
1986,افاقت,نک  افاقه.
1987,افاقه,بهبود یافتن. به هوش آمدن.  بهبود. گشایش.
1988,افاک,آن که دروغ بسيار گويد.
1989,افام,وام، دين.
1990,افام,رنگ.
1991,افانين,شاخه درخت. انواع سخن.
1992,افت,افتادن. کمی، نقصان.
